ZB4|Riveted chainmail collar|XIV-XVIth century|18g Ø 6mm riveted rings alternate with Ø 6mm flat solid rings.|155|other|zb4m.jpg|2|zb4v.JPG;zb4v2.JPG
GA1|Simple mitten gauntlets|XIV-XVth century|Standard model.|253|gauntlets|rukavice.jpg|1|palcv.jpg
GA2|Late medieval articulated gauntlets|2nd half XVth century|Standard model.|440|gauntlets|rukavice2.jpg|1|rukavice2_v.jpg
GA4|Late medieval articulated gauntlets (Italian)|2nd half XVth century|Standard model.|485|gauntlets|gantelet4m.jpg|2|gantelet4v.jpg;gantelet4v2.jpg
GA6|Highly decorated articulated gauntlets|2nd half XVth century|Standard model.|1090|gauntlets|gantelet6m.jpg|4|gantelet6v.jpg;gantelet6va.jpg;gantelet6vb.jpg;gantelet6vc.jpg
GA7|Decorated mitten gauntlets (German)|2nd half XVth century|Standard model.|1045|gauntlets|ga7m.jpg|4|ga7.jpg;ga7v1.jpg;ga7v2.jpg;ga7v4.jpg
GA8|Simple mitten gauntlets|XVth century|Standard model.|299|gauntlets|GA8m.jpg|1|GA8v.jpg
GA9|Articulated mitten gauntlets|XVth century|Hardened spring steel.|649|gauntlets|ga9m.jpg|2|ga9v.jpg;ga9v2.jpg
GA10|Simple gauntlets|XIVth century|Standard model.|220|gauntlets|ga10m.jpg|1|ga10v.jpg
GA11|Articulated mitten gauntlets (German)|2nd half XVth century|Exact copy.|420|gauntlets|ga11m.jpg|3|ga11v.JPG;ga11v2.JPG;ga11v3.jpg
AR5|Cuirass (breast and back plate)|Germany · 2nd half XVth century|Standard model.|2285|body|ar5m.jpg|5|ar5v.jpg;ar5v2.jpg;ar5v3.jpg;ar5v4.jpg;ar5v5.jpg
AR6|Breast plate|XVth century|Mild steel, 1.5 mm.|499|body|ar6m.jpg|4|ar6v.jpg;ar6v2.jpg;ar6v3a.jpg;ar6v4.jpg
AR7|Shoulders with elbows and forearms|Late XVth century|Standard model.|530|arms|ar7m.jpg|2|ar7v.jpg;ar7v2.jpg
AR8|Shoulders and arms|Late XIV-early XVth century|Standard model.|530|arms|ar8m.JPG|2|ar8v.JPG;ar8v2.jpg
AR9|Cuisses (thigh armour)|Late XIV-early XVth century|Standard model.|520|legs|ar9m.JPG|2|ar9v.JPG;ar9v2.JPG
AR1|Shoulders with elbows|Late XVth century|Standard model.|462|arms|Bras.jpg|2|BrasV.jpg;bras2.jpg
AR2|Shoulders without elbows|Late XVth century|Standard model.|363|arms|ramena2.jpg|1|ramena2_v.jpg
AR4|Cuisses (thigh armour)|2nd half XVth century|Standard model.|1289|legs|ar4m.jpg|4|ar4v.jpg;ar4v2.jpg;ar4v3.jpg;ar4v4.jpg
AR3|Iron legs|Late XVth century|Includes shin protection.|913|legs|Jambem.jpg|1|Jambe.jpg
