C42|Wooden bench|XVth century|Length approx. 102 cm. Hardwood (oak, beech, ash), easily demountable for transport.|139|furniture|c42m.jpg|1|c42v.jpg
C43m|Lantern (mini)|XVth century|Brass, glass door formed by hand. Height approx. 16 cm. Mini version of C43.|45|lantern|c43nm.jpg|2|c43nv.JPG;c43nv2.JPG
C37m|Lantern (mini)|XVth century|Brass. Height approx. 16 cm. Mini version of C37.|45|lantern|c37bm.jpg|2|c37b.JPG;c37bv2.JPG
C46m|Lantern (mini)|XVth century|Brass or copper with a brass door. Height approx. 15 cm. Mini version of C46.|45|lantern|c46mm.jpg|3|c46mv.jpg;c46mv2.jpg;c46mv3.jpg
C44a|Lantern|XVth century|Iron, handle on the back side. Height approx. 33 cm.|116|lantern|c44ma.jpg|1|c44v2.jpg
C46a|Lantern|XVth century|Iron. Height approx. 25 cm.|89|lantern|c46am.jpg|1|c46av.jpg
C46b|Lantern|XVth century|Brass. Height approx. 25 cm.|99|lantern|c46bm.jpg|1|c46bv.jpg
C43|Lantern|XVth century|Iron, glass door formed by hand. Height approx. 25 cm.|89|lantern|c43m.jpg|1|c43v.jpg
C43b|Lantern|XVth century|Brass, glass door formed by hand. Height approx. 25 cm.|99|lantern|c43bm.jpg|1|c43bv.jpg
C37|Lantern|XVth century|Brass. Height approx. 25 cm.|99|lantern|c37m.jpg|1|c37v.jpg
C38|Lantern|XVth century|Iron. Height approx. 25 cm.|89|lantern|c38m.jpg|1|c38v.jpg
C39|Lantern|XVth century|Iron. Height approx. 25 cm.|89|lantern|c39m.jpg|3|c39v.jpg;c39v2.jpg;c39v3.jpg
DV01|Wax tablet|—|17 × 10.5 × 2 cm, wooden frame filled with beeswax. Includes brass stylus.|30|other|dv01m.jpg|3|dv01v.jpg;dv01v2.jpg;dv01v3.jpg
C32|Iron igniter|XII-XVIth century|Length approx. 6.5 cm.|15|tool|C32m.jpg|1|C32v.jpg
C33|Iron igniter|XII-XVIth century|Length approx. 6.5 cm.|15|tool|C33m.jpg|1|C33v.jpg
C34|Iron igniter|XV-XVIIth century|Length approx. 8 cm.|15|tool|C34m.jpg|1|C34v.jpg
C15|Pair of candles|—|Beeswax. Height approx. 20 cm, sold per pair.|6|other|c15m.jpg|1|c15v.jpg
C17|Candlestick|—|Iron.|10|tool|svicen2.jpg|1|piton.jpg
C30|Surgical set|XVth century|8 pieces, steel, based on a period chronicle.|340|tool|Mdecin2.jpg|1|Mdecin.jpg
C35|Basic stirrups|Bohemia &amp; Germany · XVth century|4 handmade iron buckles included.|137|tool|trmenm.jpg|3|trmenv1.jpg;trmenv2.jpg;trmenv3.jpg
C36|Iron hooks for kitchen|—|Standard model.|7|tool|hakm.jpg|1|hakv.jpg
