C42|Holzbank|XV. Jahrhundert|Länge: ca. 102 cm. Hartholz (Eiche, Buche, Esche), leicht demontierbar für den Transport.|139|furniture|c42m.jpg|1|c42v.jpg
C43m|Laterne (Mini)|XV. Jahrhundert|Messing. Höhe: ca. 16 cm. Mini-Version der C43b.|45|lantern|c43nm.jpg|2|c43nv.JPG;c43nv2.JPG
C37m|Laterne (Mini)|XV. Jahrhundert|Messing. Höhe: ca. 16 cm. Mini-Version der C37.|45|lantern|c37bm.jpg|2|c37b.JPG;c37bv2.JPG
C46m|Laterne (Mini)|XV. Jahrhundert|Messing oder Kupfer mit Messingtür. Höhe: ca. 16 cm. Mini-Version der C46.|45|lantern|c46mm.jpg|3|c46mv.jpg;c46mv2.jpg;c46mv3.jpg
C44a|Laterne|XV. Jahrhundert|Eisen, Griff auf der Rückseite. Höhe: ca. 33 cm.|116|lantern|c44ma.jpg|1|c44v2.jpg
C46a|Laterne|XV. Jahrhundert|Eisen. Höhe: ca. 25 cm.|89|lantern|c46am.jpg|1|c46av.jpg
C46b|Laterne|XV. Jahrhundert|Messing. Höhe: ca. 25 cm.|99|lantern|c46bm.jpg|1|c46bv.jpg
C43|Laterne|XV. Jahrhundert|Eisen, Glastür von Hand geformt. Höhe: ca. 25 cm.|89|lantern|c43m.jpg|1|c43v.jpg
C43b|Laterne|XV. Jahrhundert|Messing, Glastür von Hand geformt. Höhe: ca. 25 cm.|99|lantern|c43bm.jpg|1|c43bv.jpg
C37|Laterne|XV. Jahrhundert|Messing. Höhe: ca. 25 cm.|99|lantern|c37m.jpg|1|c37v.jpg
C38|Laterne|XV. Jahrhundert|Eisen. Höhe: ca. 25 cm.|89|lantern|c38m.jpg|1|c38v.jpg
C39|Laterne aus Eisen|XV. Jahrhundert|Höhe: ca. 25 cm.|89|lantern|c39m.jpg|3|c39v.jpg;c39v2.jpg;c39v3.jpg
DV01|Wachstafel|—|Maße: 17 × 10,5 × 2 cm. Holzrahmen gefüllt mit Bienenwachs (5–10 % Pflanzenöle und Karbonpigmente). Inklusive Messingstylus.|30|other|dv01m.jpg|3|dv01v.jpg;dv01v2.jpg;dv01v3.jpg
C32|Feuerstahl|XII.–XVI. Jahrhundert|Länge: ca. 6,5 cm.|15|tool|C32m.jpg|1|C32v.jpg
C33|Feuerstahl|XII.–XVI. Jahrhundert|Länge: ca. 6,5 cm.|15|tool|C33m.jpg|1|C33v.jpg
C34|Feuerzeug|XV.–XVII. Jahrhundert|Länge: ca. 8 cm.|15|tool|C34m.jpg|1|C34v.jpg
C15|Paar Kerzen|—|Bienenwachs. Höhe: ca. 20 cm, im Paar verkauft.|6|other|c15m.jpg|1|c15v.jpg
C17|Kerzenständer|—|Eisen.|10|tool|svicen2.jpg|1|piton.jpg
C30|Chirurgisches Set|XV. Jahrhundert|8 Teile, Stahl, nach Vorbildern aus einer Chronik.|340|tool|Mdecin2.jpg|1|Mdecin.jpg
C35|Bügel (Grundmodell)|Böhmen &amp; Deutschland · XV. Jahrhundert|4 handgefertigte Eisenschnallen inklusive.|137|tool|trmenm.jpg|3|trmenv1.jpg;trmenv2.jpg;trmenv3.jpg
C36|Küchenhaken|—|Standardmodell.|7|tool|hakm.jpg|1|hakv.jpg
