BT4|Nestelspitzen (Packung à 50)|XV.–XVI. Jahrhundert|Länge 35 mm, Messing- oder silberne Oberfläche.|40|lace|bt4bm.jpg|2|bt4bv.jpg;bt4v.JPG
BT15|Nestelschnur aus Leinen, messingfarbene Spitzen|XV.–XVI. Jahrhundert|Gesamtlänge: ca. 38 cm.|4|lace|bt15m.jpg|1|bt15v.jpg
BT15b|Nestelschnur aus Leinen, silberfarbene Spitzen|XV.–XVI. Jahrhundert|Gesamtlänge: ca. 38 cm.|4|lace|bt15bm.jpg|1|bt15bv.jpg
SN1|Mittelalterliche Zinnknöpfe (10er-Packung)|XIV.–XV. Jahrhundert|Durchmesser 9 mm.|11|button|SN1m.jpg|1|SN1.JPG
SN2|Mittelalterliche Zinnknöpfe (10er-Packung)|XIV.–XV. Jahrhundert|Durchmesser 11 mm.|11|button|SN2m.jpg|1|SN2.JPG
SN3|Mittelalterliche Zinnknöpfe (10er-Packung)|XV.–XVI. Jahrhundert|Durchmesser 11 mm.|11|button|SN3m.jpg|1|SN3.JPG
SN4|Mittelalterliche Zinnknöpfe (10er-Packung)|XIV.–XV. Jahrhundert|Durchmesser 9 mm.|11|button|SN4m.jpg|1|SN4.JPG
SN5|Mittelalterliche Zinnknöpfe (10er-Packung)|XIV.–XV. Jahrhundert|Durchmesser 12 mm.|11|button|SN5m.jpg|1|SN5.JPG
SN6|Mittelalterliche Zinnknöpfe (10er-Packung)|XIV.–XV. Jahrhundert|Durchmesser 14 mm.|11|button|SN6m.jpg|1|SN6.JPG
SN7|Mittelalterliche Zinnknöpfe (10er-Packung)|XIV.–XV. Jahrhundert|Durchmesser 15 mm.|11|button|SN7m.jpg|1|SN7.JPG
SN8|Zinn-Abzeichen|—|Höhe 35 mm.|4|badge|SN8m.jpg|1|SN8.JPG
SN10|Zinn-Abzeichen|—|Höhe 39 mm.|4|badge|SN10m.jpg|1|SN10.JPG
SN9|Zinn-Abzeichen|—|Höhe 39 mm.|3|badge|SN9m.jpg|1|SN9.JPG
SN11|Zinn-Abzeichen|—|Höhe 39 mm.|5|badge|SN11m.jpg|1|SN11.JPG
