RE13|Rapier|Frankreich · Ende des XVI.–XVII. Jahrhundert|Länge: 125 cm, Gewicht: ca. 1,3 kg.|1190|rapier|re13m.jpg|4|re13v.jpg;re13v2.jpg;re13v3.jpg;re13v4.jpg
RE1|Schiavona|Venedig · XVI. Jahrhundert|Standardmodell.|520|sword|mec8.jpg|1|mec8.jpg
RE4|Rapier|XVI. Jahrhundert|Länge: 125 cm, Gewicht: ca. 1,3 kg.|550|rapier|rapdl_m.jpg|4|rapcl1.jpg;rapcl5.jpg;rapcs1.jpg;rapdl2.jpg
RE5|Anderthalbhänder (Renaissance)|Ende des XVI. Jahrhundert|Länge: 109 cm, Gewicht: ca. 1,475 kg. Das Original befindet sich im Musée Militaire Vaudois, Morges, Schweiz.|550|sword|morgec4b.jpg|3|morgec2a.jpg;morged1.jpg;morged2.jpg
RE6|Italienischer Rapier|Mailand, Italien · ca. 1560|Gesamtlänge: ca. 114 cm, Klingenlänge: ca. 97 cm, Gewicht: ca. 1100 g. POB ca. 3 cm vom Korb. Das Original befindet sich im Stibbert-Museum, Florenz, Italien.|595|rapier|re6m.jpg|6|re6v.JPG;re6v2.JPG;re6v3.JPG;re6v4.JPG;re6v5.JPG;re6v6.jpg
RE7|Rapier|XVI.–XVII. Jahrhundert|Länge: 105 cm, Gewicht: ca. 1,2 kg.|650|rapier|rape_m.jpg|2|rape_v1.jpg;rape_v2.jpg
RE8|Rapier|XVI. Jahrhundert|Länge: 120 cm, Gewicht: ca. 1,3 kg.|550|rapier|rap4m.jpg|2|rap2.jpg;rap3.jpg
RE9|Rapier|XVI. Jahrhundert|Länge: 105 cm, Gewicht: ca. 1,2 kg.|550|rapier|Re9m.jpg|1|re9v.jpg
RE12|Spanischer Rapier|XVI.–XVII. Jahrhundert|Hochwertig dekoriert. Länge: 125 cm, Gewicht: ca. 1,3 kg.|1320|rapier|re12m.jpg|4|re12a.jpg;re12b.jpg;re12c.jpg;re12v.jpg
RE3|Rapier|XVI. Jahrhundert|Länge: 120 cm, Gewicht: ca. 1,2 kg.|500|rapier|mecdyka1.jpg|5|mecdyka1_v.jpg;mecdyka1_v_I.jpg;mecdyka1_v_II.jpg;mecdyka1_v_III.jpg;mecdyka1_v_IV.jpg
DR1|Dolch|XVI. Jahrhundert|Standardmodell.|165|rapier|mecdyka1.jpg|5|mecdyka1_v.jpg;mecdyka1_v_I.jpg;mecdyka1_v_II.jpg;mecdyka1_v_III.jpg;mecdyka1_v_IV.jpg
