ZB4|Collier de mailles rivetées (6 mm)|XIVe–XVIe siècle|18g. Anneaux rivetés Ø 6 mm alternant avec des anneaux pleins plats de 6 mm.|155|other|zb4m.jpg|2|zb4v.JPG;zb4v2.JPG
GA1|Gantelets-mitaines simples|XIVe–XVe siècle|Modèle standard.|253|gauntlets|rukavice.jpg|1|palcv.jpg
GA2|Gantelets articulés de la fin du Moyen Âge|2e moitié du XVe siècle|Modèle standard.|440|gauntlets|rukavice2.jpg|1|rukavice2_v.jpg
GA4|Gantelets articulés de la fin du Moyen Âge (italiens)|2e moitié du XVe siècle|Modèle standard.|485|gauntlets|gantelet4m.jpg|2|gantelet4v.jpg;gantelet4v2.jpg
GA6|Gantelets articulés très décorés|2e moitié du XVe siècle|Modèle standard.|1090|gauntlets|gantelet6m.jpg|4|gantelet6v.jpg;gantelet6va.jpg;gantelet6vb.jpg;gantelet6vc.jpg
GA7|Gantelets-mitaines décorés (allemands)|2e moitié du XVe siècle|Modèle standard.|1045|gauntlets|ga7m.jpg|4|ga7.jpg;ga7v1.jpg;ga7v2.jpg;ga7v4.jpg
GA8|Gantelets-mitaines simples|XVe siècle|Modèle standard.|299|gauntlets|GA8m.jpg|1|GA8v.jpg
GA9|Gantelets-mitaines articulés|XVe siècle|Acier à ressort trempé. L'original se trouve au Bayerisches Armeemuseum, Ingolstadt, Allemagne.|649|gauntlets|ga9m.jpg|2|ga9v.jpg;ga9v2.jpg
GA10|Gantelets simples|XIVe siècle|Modèle standard.|220|gauntlets|ga10m.jpg|1|ga10v.jpg
GA11|Gantelets-mitaines articulés (allemands)|2e moitié du XVe siècle|Copie exacte. L'original se trouve au Cleveland Museum of Art, Cleveland, États-Unis.|420|gauntlets|ga11m.jpg|3|ga11v.JPG;ga11v2.JPG;ga11v3.jpg
AR5|Cuirasse (plastron et dossière)|Allemagne · 2e moitié du XVe siècle|Copie exacte. L'original du plastron se trouve au Deutsches Historisches Museum, Berlin, et celui de la dossière au Bayerisches Armeemuseum, Ingolstadt, Allemagne.|2285|body|ar5m.jpg|5|ar5v.jpg;ar5v2.jpg;ar5v3.jpg;ar5v4.jpg;ar5v5.jpg
AR6|Plastron|XVe siècle|Acier doux, 1,5 mm.|499|body|ar6m.jpg|4|ar6v.jpg;ar6v2.jpg;ar6v3a.jpg;ar6v4.jpg
AR7|Épaulières avec coudières et avant-bras|Fin du XVe siècle|Modèle standard.|530|arms|ar7m.jpg|2|ar7v.jpg;ar7v2.jpg
AR8|Épaulières et bras|Fin du XIVe–début du XVe siècle|Des pièces similaires se trouvent au Metropolitan Museum of Art, New York, États-Unis.|530|arms|ar8m.JPG|2|ar8v.JPG;ar8v2.jpg
AR9|Cuissards|Fin du XIVe–début du XVe siècle|Des pièces similaires se trouvent au Metropolitan Museum of Art, New York, États-Unis.|520|legs|ar9m.JPG|2|ar9v.JPG;ar9v2.JPG
AR1|Épaulières avec coudières|Fin du XVe siècle|Fer. Modèle standard.|462|arms|Bras.jpg|2|BrasV.jpg;bras2.jpg
AR2|Épaulières sans coudières|Fin du XVe siècle|Modèle standard.|363|arms|ramena2.jpg|1|ramena2_v.jpg
AR4|Cuissards|2e moitié du XVe siècle|Modèle standard.|1289|legs|ar4m.jpg|4|ar4v.jpg;ar4v2.jpg;ar4v3.jpg;ar4v4.jpg
AR3|Protège-jambes en fer|Fin du XVe siècle|Prix incluant la protection tibiale.|913|legs|Jambem.jpg|1|Jambe.jpg
