C42|Banc en bois|XVe siècle|Longueur : environ 102 cm. Bois dur (chêne, hêtre, frêne), facilement démontable pour le transport.|139|furniture|c42m.jpg|1|c42v.jpg
C43m|Lanterne (mini)|XVe siècle|Laiton, porte en verre formée à la main. Hauteur : environ 16 cm. Version miniature de la C43.|45|lantern|c43nm.jpg|2|c43nv.JPG;c43nv2.JPG
C37m|Lanterne (mini)|XVe siècle|Laiton. Hauteur : environ 16 cm. Version miniature de la C37.|45|lantern|c37bm.jpg|2|c37b.JPG;c37bv2.JPG
C46m|Lanterne (mini)|XVe siècle|Laiton ou cuivre avec porte en laiton. Hauteur : environ 16 cm. Version miniature de la C46.|45|lantern|c46mm.jpg|3|c46mv.jpg;c46mv2.jpg;c46mv3.jpg
C44a|Lanterne|XVe siècle|Fer, poignée à l'arrière. Hauteur : environ 33 cm.|116|lantern|c44ma.jpg|1|c44v2.jpg
C46a|Lanterne|XVe siècle|Fer. Hauteur : environ 25 cm.|89|lantern|c46am.jpg|1|c46av.jpg
C46b|Lanterne|XVe siècle|Laiton. Hauteur : environ 25 cm.|99|lantern|c46bm.jpg|1|c46bv.jpg
C43|Lanterne|XVe siècle|Fer, porte en verre formée à la main. Hauteur : environ 25 cm.|89|lantern|c43m.jpg|1|c43v.jpg
C43b|Lanterne|XVe siècle|Laiton, porte en verre formée à la main. Hauteur : environ 25 cm.|99|lantern|c43bm.jpg|1|c43bv.jpg
C37|Lanterne|XVe siècle|Laiton. Hauteur : environ 25 cm.|99|lantern|c37m.jpg|1|c37v.jpg
C38|Lanterne|XVe siècle|Fer. Hauteur : environ 25 cm.|89|lantern|c38m.jpg|1|c38v.jpg
C39|Lanterne en fer|XVe siècle|Hauteur : environ 25 cm.|89|lantern|c39m.jpg|3|c39v.jpg;c39v2.jpg;c39v3.jpg
DV01|Tablette de cire|—|Dimensions : 17 × 10,5 × 2 cm. Cadre en bois rempli de cire d'abeille contenant 5–10 % d'huiles végétales et de pigments carbonés. Stylet en laiton inclus.|30|other|dv01m.jpg|3|dv01v.jpg;dv01v2.jpg;dv01v3.jpg
C32|Briquet en fer (copie exacte)|XIIe–XVIe siècle|Longueur : environ 6,5 cm.|15|tool|C32m.jpg|1|C32v.jpg
C33|Briquet en fer (copie exacte)|XIIe–XVIe siècle|Longueur : environ 6,5 cm.|15|tool|C33m.jpg|1|C33v.jpg
C34|Briquet en fer (copie exacte)|XVe–XVIIe siècle|Longueur : environ 8 cm.|15|tool|C34m.jpg|1|C34v.jpg
C15|Paire de bougies|—|Cire d'abeille. Hauteur : environ 20 cm, vendues par paire.|6|other|c15m.jpg|1|c15v.jpg
C17|Bougeoir|—|Fer.|10|tool|svicen2.jpg|1|piton.jpg
C30|Lot d'instruments de chirurgien|XVe siècle|8 pièces, acier, d'après une chronique d'époque.|340|tool|Mdecin2.jpg|1|Mdecin.jpg
C35|Étriers de base|Bohême &amp; Allemagne · XVe siècle|4 boucles en fer forgées à la main incluses.|137|tool|trmenm.jpg|3|trmenv1.jpg;trmenv2.jpg;trmenv3.jpg
C36|Crocs de suspension pour la cuisine|—|Modèle standard.|7|tool|hakm.jpg|1|hakv.jpg
