DG45|Dague à rognons (« couillete »)|Flamand · 1450–1460|Longueur : environ 38,5 cm. L'original se trouve dans la Wallace Collection, Londres.|285|bollock|dg45m.jpg|4|dg45v.JPG;dg45v2.JPG;dg45v3.jpg;dg45v5.jpg
DG45b|Couteau et pic (ensemble)|Flamand · 1450–1460|Longueur : environ 22 cm et 19 cm. Complète la dague DG45. L'ensemble d'origine se trouve dans la Wallace Collection, Londres.|235|other|dg45bm.jpg|3|dg45bv.JPG;dg45v3.jpg;dg45v5.jpg
DG46|Dague rondel|Probablement Allemagne · XVe siècle|Longueur : environ 42 cm.|249|rondel|dg46m.jpg|2|dg46v.jpg;dg46v2.JPG
DG42|Dague rondel|Allemagne ou France · vers 1450|Longueur : environ 50,5 cm, poids : 780 g. L'original se trouve au Reichstadtmuseum de Rothenburg ob der Tauber, Allemagne.|265|rondel|dg42m2.jpg|4|dg42v.JPG;dg42v2.JPG;dg42v3.JPG;mr56v3.jpg
DG44|Dague rondel|Allemagne ou Italie · fin du XVe siècle|Longueur : environ 37 cm. L'original se trouve au Reichstadtmuseum de Rothenburg ob der Tauber, Allemagne.|299|rondel|dg44m.jpg|4|dg44v.JPG;dg44v2.JPG;dg44v3.JPG;dg44v4.jpg
DG8|Dague suisse|Suisse · XVe–XVIe siècle|Modèle standard.|249|swiss|swiss.jpg|1|swissd.jpg
DG10|Dague allemande|Allemagne · vers 1500|Copie exacte. Longueur : environ 40 cm, poids : 250 g. Lame d'origine trouvée près de Pilsen, République tchèque.|660|other|d3m.jpg|1|d3v.jpg
DG11|Dague « Panzerstecher »|Début du XVe siècle|Acier.|265|other|flailM.jpg|1|flailV.jpg
DG11a|Fourreau en cuir décoré|Début du XVe siècle|Accompagne la DG11.|95|other|flailM.jpg|1|flailV.jpg
DG13|Dague vénitienne|Fin du XVe siècle|Poignée en os.|300|ear-dagger|ear2m.jpg|1|ear1v.jpg
DG13b|Fourreau en bois|Fin du XVe siècle|Accompagne la DG13.|85|other|ear2m.jpg|1|ear1v.jpg
DG14|Dague suisse|Suisse · XVe siècle|Copie exacte.|249|swiss|dg14m2.jpg|3|DG14v.jpg;DG14v2.jpg;dg14v3.JPG
DG15|Dague rondel|Suisse · XVe siècle|Modèle standard.|259|rondel|DG15m.jpg|2|DG15v.jpg;DG15v2.jpg
DG16|Dague rondel|France, Angleterre · XVe siècle|Modèle standard.|259|rondel|DG15m.jpg|2|DG15v.jpg;DG15v2.jpg
DG17|Dague rondel|XVe siècle|Poignée en os et en corne.|295|rondel|DG17m.jpg|1|DG17v.jpg
DG19|Dague à rognons (« couillete »)|Flamand · 1450–1500|Copie exacte.|295|bollock|DG19m.jpg|3|DG19v.jpg;DG19v2.jpg;DG19v3.jpg
DG20|Dague allemande|Allemagne · 1500–1520|Copie exacte, poignée en corne et en os. L'original se trouve au Metropolitan Museum of Art, New York.|459|other|DG20m.jpg|3|DG20v3.jpg;DG20va.jpg;DG20vb.jpg
DG21|Dague suisse|Suisse · XVe siècle|Copie exacte.|259|swiss|DG21m.jpg|2|DG21v.jpg;DG21v2.jpg
DG22A|Dague « Panzerstecher »|Allemagne · fin du XVe siècle|Copie exacte. L'original se trouve aux Staatliche Kunstsammlungen, Dresde, Allemagne.|319|other|DG22am.jpg|3|DG22av.jpg;DG22av2.jpg;dg22av3.jpg
DG22B|Dague « Panzerstecher »|Allemagne · fin du XVe siècle|Copie exacte. L'original se trouve aux Staatliche Kunstsammlungen, Dresde, Allemagne.|319|other|DG22bm.jpg|3|DG22bv.jpg;DG22bv2.jpg;dg22bv3.jpg
DG24|Couteau « Bauernwehr »|Allemagne / Tchéquie · fin du XVe siècle|Copie exacte. Longueur : environ 47 cm. Original dans la collection Arma Bohemia.|255|other|dg24m.jpg|3|dg24v.jpg;dg24v2.jpg;dg24v3.jpg
DG25|Dague|Allemagne de l'ouest · XIIe–XIIIe siècle|Copie exacte. Acier standard ou plié. Longueur : environ 45 cm. L'original se trouve au Bayerisches Armeemuseum, Ingolstadt, Allemagne.|225|other|dg25m.jpg|3|dg25v.jpg;dg25v2.jpg;dg25v3.jpg
DG26|Dague|Suisse · 2e moitié du XVe siècle|Copie exacte. Longueur : environ 33 cm. L'original se trouve au Schweizerisches Landesmuseum, Zurich, Suisse.|255|swiss|dg26m.jpg|3|dg26v.jpg;dg26v2.jpg;dg26v3.jpg
DG27|Dague vénitienne|Italie · fin du XVe–début du XVIe siècle|Copie exacte, poignée en os décorée. Longueur : 38,8 cm.|455|ear-dagger|dg27m.jpg|3|dg27v.jpg;dg27v2.jpg;dg27v3.jpg
DG28|Dague|XIIIe–XIVe siècle|Longueur : environ 55 cm. Fourreau en bois inclus.|295|other|n2m.jpg|2|n2v.jpg;n2v2.jpg
DG29|Dague rondel|Sud-est de l'Angleterre · 2e moitié du XVe siècle|Copie exacte. Longueur : environ 36 cm. Collection privée.|279|rondel|dg29m.jpg|4|dg29v.jpg;dg29v2.jpg;dg29v3.jpg;dg29v4.jpg
