A68|Couteau|Pays-Bas · fin du XIIIe–début du XIVe siècle|Poignée en os. Longueur : environ 22,5 cm. Collection privée.|115|knife|a68m.jpg|3|a68v.jpg;a68v2.jpg;a68v3.jpg
A69|Couteau|Pays-Bas ou Allemagne · XIVe–XVe siècle|Poignée en corne. Longueur : environ 19 cm. Collection privée.|119|knife|a69m.jpg|2|a69v.jpg;a69v2.jpg
A70|Couteau|Pays-Bas · XIVe siècle|Poignée en bois. Longueur : environ 21 cm. Collection privée.|73|knife|a70m.jpg|2|a70v.jpg;a70v2.jpg
A11, A12, A13|Petits couteaux|XVe siècle|Longueur : environ 20 cm. Prix par couteau.|36|knife|noze01.jpg|1|noze02.jpg
A14|Fourreau en cuir|—|Accompagne les petits couteaux A11–A13.|17|other|noze01.jpg|1|noze02.jpg
A11b|Couteau à manger|Fin du XVe siècle|Poignée en corne ou en os. Longueur : environ 21 cm.|50|knife|a11bm.jpg|1|a11bv.jpg
A18|Couteau de cuisine|XVe siècle|Modèle standard.|119|knife|kuchyn.jpg|1|kuchyn2.jpg
A19|Couteau de cuisine|XVe siècle|Modèle standard.|89|knife|kuchyn.jpg|1|kuchyn2.jpg
A20|Louche en bois|XVe siècle|Modèle standard.|20|kitchenware|kuchyn.jpg|1|kuchyn2.jpg
A21|Passoire en bois|XVe siècle|Modèle standard.|22|kitchenware|kuchyn.jpg|1|kuchyn2.jpg
A25|Couteau de cuisine|Slovaquie · vers 1460–1470|Copie exacte. Original dans la collection Arma Bohemia.|68|knife|nuz1M.jpg|1|nuz1V.jpg
A26|Couteau|Angleterre · 2e moitié du XVe siècle|Copie exacte.|46|knife|nuz2m.jpg|1|nuz2V.jpg
A27|Couteau|Slovaquie · vers 1460–1470|Copie exacte. Original dans la collection Arma Bohemia.|46|knife|nuz3m.jpg|1|nuz3v.jpg
A28|Couteau à manger|XVe siècle|Poignée en corne ou en os. Longueur : environ 23 cm.|48|knife|nozikrohm.jpg|1|nozikrohV.jpg
A14b|Fourreau en cuir décoré|—|Pour la A28.|25|other|nozikrohm.jpg|1|nozikrohV.jpg
