B31|Boar spear|Saxony, Germany · XVI-XVIIth century|Length: approx. 228 cm.|179|spear|b31m.jpg|1|b31v.jpg
B19|Lance|XIV-XVth century|Length: 2.4 m.|149|lance|LanceAm.jpg|1|LanceA.jpg
B20|Lance|XI-XVth century|Length: 2.4 m.|149|lance|LanceBm.jpg|1|LanceB.jpg
B21|Lance|XI-XVth century|Length: 2.4 m.|149|lance|LanceCm.jpg|1|LanceC.jpg
B22|Lance|XI-XVth century|Copy of an original lance in the workshop's collection. Length: 2.4 m.|269|lance|lance2m.jpg|3|b22v3.jpg;lance1v.jpg;lance3.jpg
B24|Halberd|XIV-XVth century|Length: approx. 2.4 m.|290|halberd|halp2m.jpg|1|halp2v.jpg
B25|Poleaxe|West Europe · 2nd half XVth century|Length: approx. 1.8 m. Based on an original in the Wallace Collection, London.|519|axe|m47m.jpg|4|b25v3.jpg;b25v4.JPG;m47v.jpg;m47v2.jpg
B26|Glaive / "Kuse"|XVth century|Length: approx. 2.3 m.|407|glaive|kuse2m.jpg|3|kuse2v.jpg;kuse2v2.jpg;kuse2v3.jpg
B27|Halberd|XV-XVIth century|Length: approx. 2.4 m.|319|halberd|b27m.jpg|1|b27v.jpg
B28|Halberd|XV-XVIth century|Length: approx. 2.4 m.|319|halberd|b28m.jpg|1|b28v.jpg
B29|Hussite battle axe|Bohemia · XVth century|Length: 200 cm, etched chalice decoration. Based on an original in the Deutsches Historisches Museum, Berlin.|310|axe|b29m.jpg|4|b29v.jpg;b29v2.jpg;b29v3.jpg;b29v4.jpg
B30|Halberd|Switzerland · XVth century|Length: 250 cm, weight 2240 g. From a private collection.|290|halberd|b30m.jpg|3|b30v.jpg;b30v2.jpg;b30v3.jpg
HA1|Two-hand battleaxe (Danish type)|England · XIth century|From the battlefield of Hastings.|204|axe|sekerky1.jpg|1|sekerky1_v.jpg
HA2|One-hand battleaxe|England · XIth century|From the battlefield of Hastings.|165|axe|sekerky1.jpg|1|sekerky1_v.jpg
C20|Iron caltrops|XVth century|Height approx. 7 cm. Modelled after originals in the Musée du Château de Morges, Switzerland.|6|other|jezci.jpg|2|c20v2.jpg;jezciv.jpg
C21|Safe "iron" caltrops (pack of 5)|XVth century|Rubber dummy for theatrical use, height approx. 6 cm. Based on originals in the Musée du Château de Morges, Switzerland.|20|other|c21m.jpg|3|c20v2.jpg;c21v.jpg;c21v2.JPG
