EP1|Viking-type one-hand sword|England · XIth century|From the battlefield of Hastings. Length: 90 cm.|On request|xi|mec7.jpg|4|mec7_v.jpg;mec7_v_I.jpg;mec7_v_II.jpg;mec7_v_III.jpg
EP2|Norman-type one-hand sword|England · XIth century|From the battlefield of Hastings. Length: 105 cm, weight 1530 g.|319|xi|mec7.jpg|4|mec7_v.jpg;mec7_v_I.jpg;mec7_v_II.jpg;mec7_v_III.jpg
EP42|Viking-type one-hand sword|Norway · circa 1100|Length: approx. 89 cm, weight approx. 1240 g. Described in Jan Petersen's "De Norske Vikingesverd".|350|xi|ep42m.jpg|3|ep42v.jpg;ep42v3.jpg;ep42v4.jpg
EP62|Norman-type one-hand sword|England · XIth century|Length: approx. 96 cm, weight only 1120 g.|339|xi|m49m.jpg|2|m49v.jpg;m49v2.jpg
EP3|Broad one-hand sword|France · 2nd half XIIth century|Length: 95 cm, very broad blade (8 cm), sharp. Described in Viollet-le-Duc's "Encyclopédie médiévale".|460|xii|mec6.jpg|2|mec6_v.jpg;mec6_v_I.jpg
EP3a|Broad one-hand sword, smaller version|France · 2nd half XIIth century|Smaller version of EP3. Length: 90 cm, blade broad 5 cm.|308|xii|mec6.jpg|2|mec6_v.jpg;mec6_v_I.jpg
EP72|One-hand sword|Northern Europe · XI-XIIth century|Oakeshott type X/Xa. Length: 90 cm, weight approx. 1220 g. A similar sword is held by the Helsinki University Collection, Finland.|269|xii|ep72m.jpg|3|ep72v.JPG;ep72v2.JPG;ep72v3.jpg
EP70|One-hand sword|Germany / Bohemia · XIII-XIVth century|Length: 90.5 cm, weight approx. 1485 g.|269|xiv|ep70m.jpg|2|ep70v.JPG;ep70v2.JPG
EP19|Basic one-hand sword|XIV-XVth century|Length: approx. 95 cm, weight approx. 1100 g.|249|xiv|mun1m.jpg|2|mun1v.jpg;nn39v2.jpg
EP82|Greatsword|Germany · XIVth century|Length: approx. 119 cm, weight approx. 1770 g, blade width 55 mm. From a private collection.|249|xiv|ms93m.jpg|4|ms93v.JPG;ms93v2.JPG;ms93v3.JPG;ms93v4.jpg
EP73|Great sword|Austria / Germany · XIII-XIVth century|Length: approx. 120 cm, weight approx. 1720 g.|249|xiv|ep73m.jpg|2|ep73v.JPG;ep73v2.JPG
EP39|One-and-a-half-hand sword|XIVth century|Length: 120 cm, weight approx. 1845 g.|295|xiv|ep39m.jpg|2|ep39v.jpg;ep39v2.jpg
EP49|One-hand sword (exact copy)|France · XIVth century|Length: 95 cm, weight approx. 1300 g. Original at Château Castelnaud, France.|340|xiv|pt14m.jpg|3|pt14v.jpg;pt14v2.jpg;pt14v3.jpg
EP81|Falchion|England · XIVth century|Length: approx. 91.5 cm, weight 1630 g. Very broad blade (6 cm) with inscription. From a private collection.|395|xiv|ep81m.jpg|4|ep81v.JPG;ep81v2.JPG;ep81v3.JPG;ep81v4.jpg
EP58|Malchus|Middle Europe · circa 1300|Length: approx. 76 cm, weight 1370 g. Sharp blade. Original at Reichstadtmuseum Rothenburg o.d.T., Germany.|390|xiv|ep58m.jpg|3|ep58v.jpg;ep58v2.jpg;ep58v3.jpg
EP59|Falchion|Flemish (?) · late XIVth century|Length: approx. 76 cm, weight 1620 g. Original at Musée de l'Armée, Paris, France.|315|xiv|ep59m.jpg|3|ep59v.jpg;ep59v2.JPG;ep59v3.jpg
EP38|One-and-a-half-hand sword|XVth century|Length: 105 cm, weight approx. 1300 g. From a private collection.|370|xv|ep38m.jpg|3|ep38v.jpg;ep38v2.jpg;ep38v3.jpg
EP40|One-and-a-half-hand sword|XVth century|Length: approx. 115 cm. Original at the Bernese Historical Museum, Switzerland.|288|xv|ep40m.jpg|3|ep40v.jpg;ep40v2.jpg;ep40v3.jpg
EP54|One-and-a-half-hand sword|Germany · XVth century|Length: approx. 120 cm, weight 1620 g.|395|xv|ep54m.jpg|2|ep54v.jpg;ep54v2.jpg
EP46|One-and-a-half-hand sword|France · XVth century|Length: approx. 126 cm, weight 1730 g. Described in Viollet-le-Duc's "Encyclopédie médiévale".|395|xv|ep46m.jpg|3|ep46v.JPG;ep46v2.JPG;ep46v3.jpg
EP55|One-hand sword|France / England · XVth century|Length: approx. 92 cm, weight 1240 g. Provenance: Dordogne, near Castillon-la-Bataille — Battle of Castillon, 1453.|330|xv|ep55m.jpg|4|ep55v.jpg;ep55v2.jpg;ep55v3.jpg;ep55v4.jpg
EP50|Two-handed sword|France / England · XVth century|Length: approx. 146 cm, weight 2150 g. Provenance: Dordogne, near Castillon-la-Bataille — Battle of Castillon, 1453.|360|xv|n45m.jpg|3|n45v.jpg;n45v2.jpg;n45v3.jpg
EP27|One-hand sword|Central Europe · half of XVth century|Length: approx. 106 cm. Original at the museum of Château de Grandson, Switzerland.|267|xv|EP27m.jpg|3|EP27v.jpg;EP27v2.jpg;EP27v5.jpg
EP79|One-hand sword|Germany · circa 1450|Length: approx. 103 cm, weight 1369 g. Original at Reichstadtmuseum Rothenburg o.d.T., Germany.|259|xv|ep79m.jpg|3|ep79v.JPG;ep79v2.JPG;ep79v3.jpg
EP66|One-hand sword|Italy · 2nd half XVth century|Length: approx. 99 cm, weight 1100 g. From a private collection.|339|xv|mm42m.jpg|2|mm42v.jpg;mm42v2.jpg
EP48|One-hand sword|Italy · 2nd half XVth century|Length: approx. 101 cm, weight 1260 g. Horn grip. Original at the museum of Cluny, Paris, France.|449|xv|ep48m.jpg|5|ep48v.jpg;ep48v2.jpg;ep48v3.jpg;ep48v4.jpg;n31v5.jpg
EP25|One-and-a-half-hand sword|2nd half XVth century|Length: approx. 113 cm. Original at the museum of Château de Grandson, Switzerland.|327|xv|EP25m.jpg|3|EP25v.jpg;EP25v2.jpg;EP25v3.jpg
EP26|One-and-a-half-hand sword|2nd half XVth century|Length: approx. 116 cm.|297|xv|EP26m.jpg|3|EP26v.jpg;EP26v2.jpg;EP26v3.jpg
EP56|Historical one-hand training sword|2nd half XVth century|Special blade profile (3 fullers), blunt point. Length: approx. 101 cm, weight 1070 g.|559|xv|ep56bm.jpg|2|ep56bv.jpg;ep56bv2.jpg
EP16|Historical one-and-a-half-hand training sword|2nd half XVth century|Special blade profile (3 fullers), blunt point.|559|xv|Ep16m.jpg|1|Ep16v.jpg
EP18|Historical one-and-a-half-hand training sword|2nd half XVth century|Special blade profile (3 fullers), blunt point.|559|xv|Training1m.jpg|3|Dtraining1.jpg;Dtraining2.jpg;Training1.jpg
EP43|Historical one-and-a-half-hand training sword|2nd half XVth century|Special blade profile (3 fullers), blunt point. Length: approx. 121 cm, weight 1770 g.|570|xv|ep43m.jpg|2|ep43v.jpg;ep43v2.jpg
EP68|Historical one-and-a-half-hand training sword|2nd half XVth century|Special blade profile (3 fullers), blunt point. Length: approx. 130 cm, weight approx. 1700 g.|589|xv|ep68m.jpg|3|ep68v.JPG;ep68v2.JPG;pt19v6.jpg
EP51|Swiss "degen"|Switzerland · XVth century|Length: approx. 68 cm, weight approx. 560 g. Includes wooden scabbard. Original at the Historisches Museum, Bern, Switzerland.|389|xv|ep51m.jpg|4|ep51v.jpg;ep51v2.jpg;ep51v3.jpg;ep51v4.jpg
EP75|Swiss "degen"|Switzerland · 2nd half XVth century|Length: approx. 68 cm, weight approx. 600 g. From a private collection.|279|xv|ep75m.jpg|4|EP33v3.jpg;ep75v.JPG;ep75v2.JPG;ep75v3.JPG
